Algorithm,Accuracy,Precision,Recall,F1 Score,ROC AUC,CV Score,Training Time (s),Prediction Time (s)
Logistic Regression,0.95625,0.96296,0.91228,0.93694,0.99114,0.93125,0.0076,0.0007
Naive Bayes,0.95,0.94545,0.91228,0.92857,0.99302,0.94375,0.0029,0.0004
Extra Trees,0.95,0.98039,0.87719,0.92593,0.98637,0.9375,0.2271,0.0172
Support Vector Machine,0.94375,0.98,0.85965,0.91589,0.99012,0.93125,0.0401,0.0033
Gradient Boosting,0.9375,0.92727,0.89474,0.91071,0.98246,0.93906,0.3363,0.0009
AdaBoost,0.93125,0.91071,0.89474,0.90265,0.98297,0.94219,0.3703,0.0309
K-Nearest Neighbors,0.93125,0.96,0.84211,0.8972,0.96151,0.93594,0.0024,0.006
Random Forest,0.925,0.92453,0.85965,0.89091,0.98092,0.93906,0.3234,0.0213
XGBoost,0.925,0.92453,0.85965,0.89091,0.98007,0.94062,2.072,0.003
Decision Tree,0.9,0.93617,0.77193,0.84615,0.9139,0.90156,0.0051,0.0005
